day	cases
1-11-2021	86.28571429
2-11-2021	75.42857143
3-11-2021	82.71428571
4-11-2021	83.28571429
5-11-2021	72.42857143
6-11-2021	80.28571429
7-11-2021	73.14285714
8-11-2021	81.42857143
9-11-2021	94.42857143
10-11-2021	96.57142857
11-11-2021	108.8571429
12-11-2021	111.7142857
13-11-2021	120
14-11-2021	154.5714286
15-11-2021	190.5714286
16-11-2021	238.2857143
17-11-2021	304.2857143
18-11-2021	364.1428571
19-11-2021	390
20-11-2021	1525.857143
21-11-2021	1624.285714
22-11-2021	1849.857143
23-11-2021	2089
24-11-2021	2381.142857
25-11-2021	2633.142857
26-11-2021	2871.714286
27-11-2021	2162
28-11-2021	2897.428571
29-11-2021	3801.714286
30-11-2021	5142.714286
1-12-2021	6425.571429
2-12-2021	7230.285714
3-12-2021	7599.285714
4-12-2021	8358.428571
5-12-2021	9149
6-12-2021	9650.428571
7-12-2021	9320
8-12-2021	8878.857143
9-12-2021	10061.57143
10-12-2021	10374.71429
11-12-2021	10345.42857
12-12-2021	10784.14286
13-12-2021	9935.428571
14-12-2021	8618.285714
15-12-2021	7891.142857
16-12-2021	6085.571429
17-12-2021	5403.142857
18-12-2021	4700.142857
19-12-2021	3135.571429
20-12-2021	2900.714286
21-12-2021	3380.428571
22-12-2021	3285.857143
23-12-2021	2910.714286
24-12-2021	2758.428571
25-12-2021	2515.142857
