day	cases
1-11-2021	144
2-11-2021	144
3-11-2021	144
4-11-2021	144
5-11-2021	144
6-11-2021	144
7-11-2021	144
8-11-2021	166
9-11-2021	166
10-11-2021	166
11-11-2021	166
12-11-2021	166
13-11-2021	166
14-11-2021	166
15-11-2021	345
16-11-2021	345
17-11-2021	345
18-11-2021	345
19-11-2021	345
20-11-2021	345
21-11-2021	345
22-11-2021	942
23-11-2021	942
24-11-2021	942
25-11-2021	942
26-11-2021	942
27-11-2021	942
28-11-2021	942
29-11-2021	2381
30-11-2021	2381
1-12-2021	2381
2-12-2021	2381
3-12-2021	2381
4-12-2021	2381
5-12-2021	2381
6-12-2021	3281
7-12-2021	3281
8-12-2021	3281
9-12-2021	3281
10-12-2021	3281
11-12-2021	3281
12-12-2021	3281
13-12-2021	2749
14-12-2021	2749
15-12-2021	2749
16-12-2021	2749
17-12-2021	2749
18-12-2021	2749
19-12-2021	2749
