day	cases
30-11-2021	0.003905806
1-12-2021	0.005016046
2-12-2021	0.008067177
3-12-2021	0.012174555
4-12-2021	0.016492293
5-12-2021	0.024785668
6-12-2021	0.044748667
7-12-2021	0.085247095
8-12-2021	0.127724511
9-12-2021	0.162238607
10-12-2021	0.205535888
11-12-2021	0.221739124
12-12-2021	0.328851167
13-12-2021	0.425051309
14-12-2021	0.567279886
15-12-2021	0.642415359
16-12-2021	0.679659929
17-12-2021	0.698737898
18-12-2021	0.738864076
19-12-2021	0.767940155
20-12-2021	0.809625162
21-12-2021	0.857196827
22-12-2021	0.887156949
23-12-2021	0.896940741
24-12-2021	0.905134762
25-12-2021	0.925940986
26-12-2021	0.9305716
